"","X","Region","Country","Code","Sex","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Income2019"
"164","2186","Latin America & Caribbean","Haiti","HTI","Male"," "," "," "," ","11.5"," "," "," "," "," "," "," "," ","1200.584652"
"165","2211","Latin America & Caribbean","Honduras","HND","Female","3.84","4.26","5.4","6.31","5.12","7.45","9.25","8.76","8.88","7.85","7.17","8.06"," ","2235.501124"
"166","2212","Latin America & Caribbean","Honduras","HND","Male","2.77","2.74","3.37","3.45","3.01","4.56","5.68","4.41","5.3","4.04","4.62","4.22"," ","2235.501124"
"167","2237","East Asia & Pacific","Hong Kong SAR, China","HKG","Female","2.97","4.32","3.5","2.8","2.76","2.97","3.01","3.18","3.08","2.86","2.42","2.31","4.75"," "
"168","2238","East Asia & Pacific","Hong Kong SAR, China","HKG","Male","4.05","6.07","5.06","3.99","3.77","3.8","3.57","3.44","3.69","3.39","3.2","3.56","6.92"," "
"169","2263","Europe & Central Asia","Hungary","HUN","Female","8","9.74","10.66","10.98","10.61","10.14","7.91","7.04","5.11","4.57","3.99","3.5","4.48","13581.69316"
"170","2264","Europe & Central Asia","Hungary","HUN","Male","7.66","10.28","11.61","11.07","11.34","10.21","7.57","6.62","5.12","3.81","3.48","3.36","4.06","13581.69316"
"171","2289","Europe & Central Asia","Iceland","ISL","Female","2.58","5.68","6.74","6.21","5.66","5.08","4.79","4.05","3.05","2.72","2.54","3.11","5.29","57828.96317"
"172","2290","Europe & Central Asia","Iceland","ISL","Male","3.25","8.56","8.31","7.77","6.31","5.65","5","3.91","2.92","2.76","2.85","3.84","5.64","57828.96317"
"173","2315","South Asia","India","IND","Female"," "," ","3.3"," ","3.69"," "," "," "," "," ","5.3","4.94"," ","1821.960921"
"174","2316","South Asia","India","IND","Male"," "," ","2.17"," ","2.4"," "," "," "," "," ","5.34","5.37"," ","1821.960921"
"175","2341","East Asia & Pacific","Indonesia","IDN","Female","8.1","6.7","6.39","5.57","4.78","4.27","3.88","4.43","3.87","3.6","4.18","3.35","3.78","3280.307551"
"176","2342","East Asia & Pacific","Indonesia","IDN","Male","6.66","5.74","5.13","4.9","4.27","4.38","4.15","4.57","4.57","4.06","4.519999981","3.769999981","4.61","3280.307551"
"177","2367","Middle East & North Africa","Iran, Islamic Rep.","IRN","Female","16.92000008","17.04000092","20.73999977","21.05999947","19.79000092","19.87000084","19.76000023","19.5","20.78000069","19.92","18.96","17.55"," "," "
